Title,Note,URL,Tags,Comment
,,,,
Córdoba 87,,https://www.google.com/maps/place/C%C3%B3rdoba+87/data=!4m2!3m1!1s0x85d1ff3a8f606d5d:0x174182049a5285eb,,
Maizajo,,https://www.google.com/maps/place/Maizajo/data=!4m2!3m1!1s0x85d1f8662726bc5d:0xd437703208a9d19a,,
Tosco Restaurante,,https://www.google.com/maps/place/Tosco+Restaurante/data=!4m2!3m1!1s0x85d1ff001e7f1c57:0x11a3e8a9b8432e87,,
Biggie’s,,https://www.google.com/maps/place/Biggie%E2%80%99s/data=!4m2!3m1!1s0x85d1ff479b25bc3f:0x212f598847b4a9be,,
