Title,Note,URL,Tags,Comment
,,,,
Ricochet Apero,,,,
La Romana,,,,
Alterna,,,,
La Belle Epoque,,,,
Wagyu Jyube,,https://www.google.com/maps/place/Wagyu+Jyube+Mexico+City/data=!4m2!3m1!1s0x85d1ff9defe004af:0xe2149870992fd844,,
Cochilada,,,,
Chopsticks,,https://www.google.com/maps/place/ChopStick/data=!4m2!3m1!1s0x85d1ff21e608f4d1:0x58be90dab5d78574,,
