Title,Note,URL,Tags,Comment
,,,,
YEMA Nuevo León,,https://www.google.com/maps/place/YEMA+Nuevo+Le%C3%B3n/data=!4m2!3m1!1s0x85d1ff5db4dca613:0xa66270f7d8fc0569,,
YEMA Roma,,https://www.google.com/maps/place/YEMA+Roma/data=!4m2!3m1!1s0x85d1ffb830e00229:0x3ab8b37ade4518b5,,
Smart Food Pescado Sustentable,,https://www.google.com/maps/place/Smart+Food+Pescado+Sustentable/data=!4m2!3m1!1s0x85d1ffeaccd28f59:0x1e7f6c1c8d4de127,,
Botánica Granel,,https://www.google.com/maps/place/Bot%C3%A1nica+Granel/data=!4m2!3m1!1s0x85d1ff57e6d34a67:0x415c5b4a9eae571e,,
The Green Corner,,https://www.google.com/maps/place/The+Green+Corner/data=!4m2!3m1!1s0x85d1ff4496f21633:0x9b155574162f6ab9,,
