Title,Note,URL,Tags,Comment
,,,,
Dropped pin,Stand that is Santis friend ,"https://www.google.com/maps/search/19.4213486,-99.1668785",,
Asaderos Orozco,,https://www.google.com/maps/place/Asaderos+Orozco/data=!4m2!3m1!1s0x85d1ff007a372f75:0x9babe06d8177d2a8,,
Taco Tasting Room,,https://www.google.com/maps/place/Taco+Tasting+Room/data=!4m2!3m1!1s0x85d1f9133e338c29:0xb8670192cc244bf1,,
Tacos Los Caramelos - Condesa,,https://www.google.com/maps/place/Tacos+Los+Caramelos+-+Condesa/data=!4m2!3m1!1s0x85d1ff1a09ae75db:0x86da44977d2c5293,,
La Once Mil - Roma Norte,,https://www.google.com/maps/place/La+Once+Mil+-+Roma+Norte/data=!4m2!3m1!1s0x85d1ff005adfb7d3:0xd652330b4035e930,,
Taquería Orinoco,,https://www.google.com/maps/place/Taquer%C3%ADa+Orinoco/data=!4m2!3m1!1s0x85d1ff45390b8271:0xde08259e1635ecd8,,
