Title,Note,URL,Tags,Comment
,,,,
Manicura Le Beauty Studio,Nails,https://www.google.com/maps/place/Manicura+Le+Beauty+Studio/data=!4m2!3m1!1s0x85d1ff7549d0002d:0xeb03bcf058b60251,,
Owa Wellness,,https://www.google.com/maps/place/Owa+Wellness/data=!4m2!3m1!1s0x85d1ff7e7ff0695d:0xed0f22db0b608fde,,
Koti Wellness Roma Norte - Contrast Therapy | Sauna & Cold Plunge | Masajes,,https://www.google.com/maps/place/Koti+Wellness+Roma+Norte+-+Contrast+Therapy+%7C+Sauna+%26+Cold+Plunge+%7C+Masajes/data=!4m2!3m1!1s0x85d1ff969d84ed9b:0xce24939c0c3d1c7b,,
