Title,Note,URL,Tags,Comment
Fueguia 1833 Mexico,,https://www.google.com/maps/place/Fueguia+1833+Mexico/data=!4m2!3m1!1s0x85d1fff60676ed8b:0xe54f04080617fc11,,
Orbita,,https://www.google.com/maps/place/Orbita/data=!4m2!3m1!1s0x85d1ff9c2c5d9a45:0x5c77ef01daf4e725,,
Pandora Roof Top,,https://www.google.com/maps/place/Pandora+Roof+Top/data=!4m2!3m1!1s0x85d1ff0074e5a9bd:0xa23289df5f6cdf6f,,
Em,,https://www.google.com/maps/place/Em/data=!4m2!3m1!1s0x85d1ff7f1df7b7d5:0xdb3fca50cb1319ab,,
Havre 77,,https://www.google.com/maps/place/Havre+77/data=!4m2!3m1!1s0x85d1ff316923c3f7:0xe06e213a196ed97c,,
Haab Project Condesa,,https://www.google.com/maps/place/Haab+Project+Condesa/data=!4m2!3m1!1s0x85d1ff1e47c06ad5:0xe51b8d1140b9de46,,
Alma Mia Condesa,,https://www.google.com/maps/place/Alma+Mia+Condesa/data=!4m2!3m1!1s0x85d1ff606da98a65:0x54541cbf1fcc1b07,,
Casa Elena Restaurante,,https://www.google.com/maps/place/Casa+Elena+Restaurante/data=!4m2!3m1!1s0x85d1ff992fe23a19:0x769158b0431b323e,,
Restaurante Castizo,,https://www.google.com/maps/place/Restaurante+Castizo/data=!4m2!3m1!1s0x85d1ff09aa344311:0xb7eb81da3b6c75dd,,
HiHi Nails Roma,,https://www.google.com/maps/place/HiHi+Nails+Roma/data=!4m2!3m1!1s0x85d1ff547d998d6d:0x59a6a60125375b44,,
Migrante,,https://www.google.com/maps/place/Migrante/data=!4m2!3m1!1s0x85d1ffb171b584b5:0x7108968e2c7cc556,,
PLONK,,https://www.google.com/maps/place/PLONK/data=!4m2!3m1!1s0x85d1ffcb11c2ccfb:0xd325bce679981c20,,
Maleza,,https://www.google.com/maps/place/Maleza/data=!4m2!3m1!1s0x85d1ff671fd8c9ef:0xa2c96a7441aac22,,
Terraza Coraje,,https://www.google.com/maps/place/Terraza+Coraje/data=!4m2!3m1!1s0x85d1ff48b76c64b7:0xda8014e6f264a943,,
Departamento,,https://www.google.com/maps/place/Departamento/data=!4m2!3m1!1s0x85d1ff4c206233a3:0x685212c676edcda2,,
Huset,,https://www.google.com/maps/place/Huset/data=!4m2!3m1!1s0x85d1ff39c1498751:0x1da7bb872877380e,,
Quintonil,,https://www.google.com/maps/place/Quintonil/data=!4m2!3m1!1s0x85d201ff65042f6d:0xada8294307fc00c3,,
Mendl Delicatessen,,https://www.google.com/maps/place/Mendl+Delicatessen/data=!4m2!3m1!1s0x85d1fff467584079:0x5f5782a1e1db88a1,,
Ostrería 109,,https://www.google.com/maps/place/Ostrer%C3%ADa+109/data=!4m2!3m1!1s0x85d1ff8a01ab1a61:0xb84f9e1c5eb8075f,,
oly.,,https://www.google.com/maps/place/oly./data=!4m2!3m1!1s0x85d1ffe147ce5801:0x317a07faefc1b6f9,,
Ámsterdam 133,,https://www.google.com/maps/place/%C3%81msterdam+133/data=!4m2!3m1!1s0x85d1ff4111835e71:0x16416ec45d82b623,,
Casa Mandarine,,https://www.google.com/maps/place/Casa+Mandarine/data=!4m2!3m1!1s0x85d1ffd48cadd497:0xe8c3c4433f571619,,
Aurelia Concept Store,,https://www.google.com/maps/place/Aurelia+Concept+Store/data=!4m2!3m1!1s0x85d1ff553c2de385:0x41aceb64e5d686aa,,
VOID,,https://www.google.com/maps/place/VOID/data=!4m2!3m1!1s0x85d1ff44f61a1bab:0x99d3f776fc50ed0b,,
Fónico,,https://www.google.com/maps/place/F%C3%B3nico/data=!4m2!3m1!1s0x85d1ff31a0877a2d:0x9f27ef15d4a2e8e8,,
Anónimo,,https://www.google.com/maps/place/An%C3%B3nimo/data=!4m2!3m1!1s0x85d1ff338b6dbf3f:0x125a25634d08d0a3,,
Lardo,,https://www.google.com/maps/place/Lardo/data=!4m2!3m1!1s0x85d1ff45bd47fe73:0x4528d0b3c4abd2b8,,
Altanera Roma,,https://www.google.com/maps/place/Altanera+Roma/data=!4m2!3m1!1s0x85d1ff2b75290f4f:0xa09571de51db8f54,,
Contramar,,https://www.google.com/maps/place/Contramar/data=!4m2!3m1!1s0x85d1ff2fbf2f3f7b:0xe8a4468e5f14a3f,,
Toledo Rooftop,,https://www.google.com/maps/place/Toledo+Rooftop/data=!4m2!3m1!1s0x85d1ff48e74aea7d:0x447ed5094f5e2468,,
Biblioteca Vasconcelos,,https://www.google.com/maps/place/Biblioteca+Vasconcelos/data=!4m2!3m1!1s0x85d1f8d97f5adfe9:0xab381ade506b433d,,
Balcón del Zócalo,,https://www.google.com/maps/place/Balc%C3%B3n+del+Z%C3%B3calo/data=!4m2!3m1!1s0x85d1f92d46a31c99:0xa3cba9f9cd7e96e4,,
Tepotzotlán,,https://www.google.com/maps/place/Tepotzotl%C3%A1n/data=!4m2!3m1!1s0x85d220247669dddb:0x87655b8b1ef289eb,,
Palacio de Bellas Artes,,https://www.google.com/maps/place/Palacio+de+Bellas+Artes/data=!4m2!3m1!1s0x85d1f92b75aa014d:0x17d810d20da6e8cf,,
LagoAlgo,,https://www.google.com/maps/place/LagoAlgo/data=!4m2!3m1!1s0x85d201e541f45ad1:0x980a55c81899f565,,
Frida Kahlo Museum,,https://www.google.com/maps/place/Frida+Kahlo+Museum/data=!4m2!3m1!1s0x85d1ffc400ba3f3b:0x6201a4f7f7ccf4a1,,
Museo Soumaya,,https://www.google.com/maps/place/Museo+Soumaya/data=!4m2!3m1!1s0x85d2021a6e3a3d09:0x9372e2224c033cb3,,
"Taquería ""Sin Nombre""",,https://www.google.com/maps/place/Taquer%C3%ADa+%22Sin+Nombre%22/data=!4m2!3m1!1s0x85d1ff670bfdfd5b:0xa1646969ce63512f,,
Panadería Rosetta,,https://www.google.com/maps/place/Panader%C3%ADa+Rosetta/data=!4m2!3m1!1s0x85d1ff3a738df1fb:0xc83c192f6107982c,,
Blanco Colima,,https://www.google.com/maps/place/Blanco+Colima/data=!4m2!3m1!1s0x85d1ff3a7b96288b:0xb706a89d2a4e3711,,
Restaurante Rosetta,,https://www.google.com/maps/place/Restaurante+Rosetta/data=!4m2!3m1!1s0x85d1ff035a802175:0x617fedb7ee58dbc0,,
National Art Museum,,https://www.google.com/maps/place/National+Art+Museum/data=!4m2!3m1!1s0x85d200248453f8d1:0x5e67451bc487b600,,
Terraza Gran Hotel,,https://www.google.com/maps/place/Terraza+Gran+Hotel/data=!4m2!3m1!1s0x85d1fecd5f3fc76b:0xa7d69df2a358db17,,
Taverna,,https://www.google.com/maps/place/Taverna/data=!4m2!3m1!1s0x85d1ffa2da192337:0xb10c3bd5a92fe6dd,,
Chapultepec Castle,,https://www.google.com/maps/place/Chapultepec+Castle/data=!4m2!3m1!1s0x85d1fecd47ed8f23:0xa6e0008524818b32,,
Churrería El Moro,,https://www.google.com/maps/place/Churrer%C3%ADa+El+Moro/data=!4m2!3m1!1s0x85d1ff253f25fedd:0x99d51a4869fab2b4,,
Churrería El Moro,,https://www.google.com/maps/place/Churrer%C3%ADa+El+Moro/data=!4m2!3m1!1s0x85d1ff3427558d1f:0x38765204a839e803,,
Parque Quetzalcoatl,,https://www.google.com/maps/place/Parque+Quetzalcoatl/data=!4m2!3m1!1s0x85d2031ed8108809:0xfb2ababd8a745896,,
Estiatorio Nostos (Lomas),,https://www.google.com/maps/place/Estiatorio+Nostos+(Lomas)/data=!4m2!3m1!1s0x85d201693184fdc7:0xe246526b8f345c50,,
180º Shop,,https://www.google.com/maps/place/180%C2%BA+Shop/data=!4m2!3m1!1s0x85d1ff3a72da472f:0x58dc1c5b3a73c70c,,
Mi Compa Chava Marisquería,,https://www.google.com/maps/place/Mi+Compa+Chava+Marisquer%C3%ADa/data=!4m2!3m1!1s0x85d1ff976e20f4d1:0x2087fc553413be6a,,
La Gruta,,https://www.google.com/maps/place/La+Gruta/data=!4m2!3m1!1s0x85d1ea81702fef51:0x7f72bcdf24e2b4dd,,
San Ángel Inn,,https://www.google.com/maps/place/San+%C3%81ngel+Inn/data=!4m2!3m1!1s0x85d2001b17885c87:0x90a32d168e98ce6a,,
El Tigre Silencioso,,https://www.google.com/maps/place/El+Tigre+Silencioso/data=!4m2!3m1!1s0x85d1ff3081faaaab:0x8e868dafabf86dfe,,
Nido de Quetzalcoatl,,https://www.google.com/maps/place/Nido+de+Quetzalcoatl/data=!4m2!3m1!1s0x85d205b5c03d0fb3:0xe5c0cd5ae58b2114,,
Xochimilco,,https://www.google.com/maps/place/Xochimilco/data=!4m2!3m1!1s0x85ce038c6de8dea3:0x9b79f71fdabd5384,,
The House of Tiles,,https://www.google.com/maps/place/The+House+of+Tiles/data=!4m2!3m1!1s0x85d1f92b5f1a452f:0x8b1879ee6f42c37,,
