Title,Note,URL,Tags,Comment
,,,,
Quiero Gelato,,https://www.google.com/maps/place/Quiero+Gelato/data=!4m2!3m1!1s0x85d1fff22d0a5f0b:0xe003d1d99b56178b,,
Balmori Roofbar,,https://www.google.com/maps/place/Balmori+Roofbar/data=!4m2!3m1!1s0x85d1ff3b95298bc1:0x55a23d2a04a33102,,
