Title,Note,URL,Tags,Comment
,,,,
Bikini Pizza,,https://www.google.com/maps/place/Bikini+Pizza/data=!4m2!3m1!1s0x85d1ff612382bf81:0x50f2e990ddd7ed10,,
Ostería 8,,https://www.google.com/maps/place/Oster%C3%ADa+8/data=!4m2!3m1!1s0x85d1ffe970c5d2dd:0x57eca2efc8975aa6,,
HANK’S Pizza Choza,,https://www.google.com/maps/place/HANK%E2%80%99S+Pizza+Choza/data=!4m2!3m1!1s0x85d1ff87ed073529:0x27da78c89ac84bdf,,
Boogie's Pizza,,https://www.google.com/maps/place/Boogie's+Pizza/data=!4m2!3m1!1s0x85d1ff2f278baafb:0xf7484f59030a5e3b,,
