Title,Note,URL,Tags,Comment
,,,,
Saint,,https://www.google.com/maps/place/Saint/data=!4m2!3m1!1s0x85d1ffcd3784285d:0xe7ab200d54e4fe35,,
Dimora Nemorino,,https://www.google.com/maps/place/Dimora+Nemorino/data=!4m2!3m1!1s0x85d1ff0024496313:0xc6f042f96cfcaff2,,
lagalletería,,https://www.google.com/maps/place/lagalleter%C3%ADa/data=!4m2!3m1!1s0x85d1ffe04ac2589d:0x366ae40cd90fafac,,
El Olvidado,,https://www.google.com/maps/place/El+Olvidado/data=!4m2!3m1!1s0x85d1ff0055a9d565:0x232b073ddb29b036,,
Tomasa Condesa,,https://www.google.com/maps/place/Tomasa+Condesa/data=!4m2!3m1!1s0x85d1ff0fd8450659:0xd4cabd15fb6886a7,,
