Title,Note,URL,Tags,Comment
,,,,
ARDA,,https://www.google.com/maps/place/ARDA/data=!4m2!3m1!1s0x85d1ff2595aa187d:0x9026332b65e8111a,,
Xaman Bar,,https://www.google.com/maps/place/Xaman+Bar/data=!4m2!3m1!1s0x85d1ff3446b3bd5f:0xb9dacb7c186b5ab6,,
Perfumérica Condesa,,https://www.google.com/maps/place/Perfum%C3%A9rica+Condesa/data=!4m2!3m1!1s0x85d1ffea8b6431f3:0x1d80fc4600439680,,
Colonia Meadery,,https://www.google.com/maps/place/Colonia+Meadery/data=!4m2!3m1!1s0x85d1ff18439910e9:0xd7941cfd4306c246,,
Frontera 99,,https://www.google.com/maps/place/Frontera+99/data=!4m2!3m1!1s0x85d1ff2557bf44cb:0x6dbc4d0de44c10b3,,
