Title,Note,URL,Tags,Comment
,,,,
La Papaya Smoothie House,,https://www.google.com/maps/place/La+Papaya+Smoothie+House/data=!4m2!3m1!1s0x85d1ff5a5505972d:0x85c92669fe66ef0e,,
OC Market,,https://www.google.com/maps/place/OC+Market/data=!4m2!3m1!1s0x85d1ff43429cc0cb:0xd19b83be6b437878,,
Half & Half,,https://www.google.com/maps/place/Half+%26+Half/data=!4m2!3m1!1s0x85d1ff473c9bbccf:0x765b096c7954c06b,,
Green me Condesa,,https://www.google.com/maps/place/Green+me+Condesa/data=!4m2!3m1!1s0x85d1ffee0bcea09f:0xe4db01dc69d824f2,,
