Title,Note,URL,Tags,Comment
,,,,
Dimora Nemorino,,https://www.google.com/maps/place/Dimora+Nemorino/data=!4m2!3m1!1s0x85d1ff0024496313:0xc6f042f96cfcaff2,,
Chiquitito Café,,https://www.google.com/maps/place/Chiquitito+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ff003c836799:0x93c1c2ab4e07ed7,,
Borel,,https://www.google.com/maps/place/Borel/data=!4m2!3m1!1s0x85d1ff83f28e456b:0xddcdccfc41e7fd34,,
Cafebrería El Péndulo Condesa,,https://www.google.com/maps/place/Cafebrer%C3%ADa+El+P%C3%A9ndulo+Condesa/data=!4m2!3m1!1s0x85d1ff4183c199fd:0x65c560ebcd1b3719,,
Cafe Trucha,,https://www.google.com/maps/place/Cafe+Trucha/data=!4m2!3m1!1s0x85d1ff71ce710fe1:0xea97f7be6558d122,,
Pisca,,https://www.google.com/maps/place/Pisca/data=!4m2!3m1!1s0x85d1ffc6c0614d69:0xf4037d9a57662c8f,,
Casa Café,,https://www.google.com/maps/place/Casa+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ff94ca2ee459:0x7bed169743ba2208,,
