Title,Note,URL,Tags,Comment
,,,,
Motional Muse,,https://www.google.com/maps/place/Motional+Muse/data=!4m2!3m1!1s0x85d1ff1649a1b0a5:0xebb0f3304a946ec3,,
Amorio,,https://www.google.com/maps/place/Amorio/data=!4m2!3m1!1s0x85d1ffdbc317b1d1:0xbda1941c12b128ab,,
Marika Vera,,https://www.google.com/maps/place/Marika+Vera/data=!4m2!3m1!1s0x85d1ff49c78e2969:0x35fcbeca82b51910,,
Vintage Hoe,,https://www.google.com/maps/place/Vintage+Hoe/data=!4m2!3m1!1s0x85d1ff30ccd21ae1:0x1228d121802e55e4,,
CUEVA clothing store,,https://www.google.com/maps/place/CUEVA+clothing+store/data=!4m2!3m1!1s0x85d1ffc6f80ade81:0xc719a4f4516aff17,,
ZII ROPA,,https://www.google.com/maps/place/ZII+ROPA/data=!4m2!3m1!1s0x85d1ffed2a10befd:0xb2b2e643ab815838,,
